Name,Gender,Country,Continent,Birthday
Lee Archambault,Male,United States,North America,25-08-1960
Lee Morin,Male,United States,North America,09-09-1952
Leland D. Melvin,Male,United States,North America,15-02-1964
Leonid Kadenyuk,Male,Ukraine,Europe,28-01-1951
Leonid Kizim,Male,Russia,Europe,05-08-1941
Leonid Popov,Male,Russia,Europe,31-08-1945
Léopold Eyharts,Male,France,Europe,28-04-1957
Leroy Chiao,Male,United States,North America,28-08-1960
Lev Dyomin,Male,Russia,Europe,11-01-1926
Linda Godwin,Female,United States,North America,02-07-1952
Lisa Nowak,Female,United States,North America,10-05-1963
Liu Boming,Male,China,Asia,01-09-1966
Liu Wang,Male,China,Asia,01-03-1969
Liu Yang,Female,China,Asia,01-10-1978
Lloyd Hammond,Male,United States,North America,16-01-1952
Lodewijk van den Berg,Male,Netherlands,Europe,24-03-1932
Loren Acton,Male,United States,North America,07-03-1936
Loren Shriver,Male,United States,North America,23-09-1944
Luca Parmitano,Male,Italy,Europe,27-09-1976
Mae Jemison,Female,United States,North America,17-10-1956
Maksim Surayev,Male,Russia,Europe,24-05-1972
Mamoru Mohri,Male,Japan,Asia,29-01-1948
Marc Garneau,Male,Canada,North America,23-02-1949
Marcos Pontes,Male,Brazil,South America,11-03-1963
Margaret Rhea Seddon,Female,United States,North America,08-11-1947
Mario Runco,Male,United States,North America,26-01-1952
Mark Brown,Male,United States,North America,18-11-1951
Mark C. Lee,Male,United States,North America,14-08-1952
Mark Kelly,Male,United States,North America,21-02-1964
Mark Polansky,Male,United States,North America,02-06-1956
Mark Shuttleworth,Male,South Africa,Africa,18-09-1973
Mark T. Vande Hei,Male,United States,North America,10-11-1966
Marsha Ivins,Female,United States,North America,15-04-1951
Martin J. Fettman,Male,United States,North America,31-12-1956
Mary Cleave,Female,United States,North America,05-02-1947
Mary Weber,Female,United States,North America,24-08-1962
Maurizio Cheli,Male,Italy,Europe,04-05-1959
Michael Baker,Male,United States,North America,27-10-1953
Michael Barratt,Male,United States,North America,16-04-1959
Michael Clifford,Male,United States,North America,13-10-1952
Michael Coats,Male,United States,North America,16-01-1946
Michael Collins,Male,United States,North America,31-10-1930
Michael Fincke,Male,United States,North America,14-03-1967
Michael Foale,Male,United Kingdom,Europe,06-01-1957
Michael Foreman,Male,United States,North America,29-03-1957
Michael Fossum,Male,United States,North America,19-12-1957
Michael Gernhardt,Male,United States,North America,04-05-1956
Michael J. Bloomfield,Male,United States,North America,16-03-1959
Michael J. McCulley,Male,United States,North America,04-08-1943
Michael Lopez-Alegria,Male,Spain,Europe,30-05-1958
Michael Massimino,Male,United States,North America,19-08-1962
Michael P. Anderson,Male,United States,North America,25-12-1959
Michael S. Hopkins,Male,United States,North America,28-12-1968
Michael Smith,Male,United States,North America,30-04-1945
Michael T. Good,Male,United States,North America,13-10-1962
Michel Tognini,Male,France,Europe,30-09-1949
Mike Melvill,Male,United States,North America,11-11-1940
Mikhail Korniyenko,Male,Russia,Europe,15-04-1960
Mikhail Tyurin,Male,Russia,Europe,02-03-1960
Millie Hughes-Fulford,Female,United States,North America,21-12-1945
Miros?aw Hermaszewski,Male,Poland,Europe,15-09-1941
Muhammed Faris,Male,Syria,Asia,26-05-1951
Musa Manarov,Male,Russia,Europe,22-03-1951
Nancy J. Currie-Gregg,Female,United States,North America,29-12-1958
Nancy Jan Davis,Female,United States,North America,01-11-1953
Naoko Yamazaki,Female,Japan,Asia,27-12-1970
Neil Armstrong,Male,United States,North America,05-08-1930
Nicholas Patrick,Male,United States,North America,22-03-1964
Nick Hague,Male,United States,North America,24-09-1975
Nicole Stott,Female,United States,North America,19-11-1962
Nie Haisheng,Male,China,Asia,13-10-1964
Nikolai Budarin,Male,Russia,Europe,29-04-1953
Nikolay Rukavishnikov,Male,Russia,Europe,18-09-1932
Norishige Kanai,Male,Japan,Asia,01-12-1976
Norman Thagard,Male,United States,North America,03-07-1943
Oleg Artemyev,Male,Russia,Europe,28-12-1970
Oleg Atkov,Male,Russia,Europe,09-05-1949
Oleg Kononenko,Male,Russia,Europe,21-06-1964
Oleg Kotov,Male,Russia,Europe,27-10-1965
Oleg Makarov,Male,Russia,Europe,06-01-1933
Oleg Novitskiy,Male,Russia,Europe,12-10-1971
Oleg Skripochka,Male,Russia,Europe,24-12-1969
Owen Garriott,Male,United States,North America,22-11-1930
Pamela Melroy,Female,United States,North America,17-09-1961
Paolo A. Nespoli,Male,Italy,Europe,29-12-1958
Patrick Baudry,Male,France,Europe,06-03-1946
Patrick Forrester,Male,United States,North America,31-03-1957
Paul Lockhart,Male,United States,North America,28-04-1956
Paul Scully-Power,Male,Australia,Oceania,28-05-1944
Paul W. Richards,Male,United States,North America,20-05-1964
Paul Weitz,Male,United States,North America,25-06-1932
Pavel Belyayev,Male,Russia,Europe,26-06-1925
Pavel Popovich,Male,Russia,Europe,05-10-1930
Pavel Vinogradov,Male,Russia,Europe,31-08-1953
Pedro Duque,Male,Spain,Europe,14-03-1963
Peggy Whitson,Female,United States,North America,09-02-1960
Pete Conrad,Male,United States,North America,02-05-1930
Peter Wisoff,Male,United States,North America,16-08-1958
Pham Tuân,Male,Vietnam,Asia,14-02-1947
Philippe Perrin,Male,France,Europe,06-01-1963
Pierre Thuot,Male,United States,North America,19-05-1955
Piers Sellers,Male,United Kingdom,Europe,11-04-1955
Pyotr Klimuk,Male,Russia,Europe,10-07-1942
Rakesh Sharma,Male,India,Asia,13-01-1949
Randolph Bresnik,Male,United States,North America,11-09-1967
Reinhard Furrer,Male,Germany,Europe,25-11-1940
Reinhold Ewald,Male,Germany,Europe,18-12-1956
Rex Walheim,Male,United States,North America,10-10-1962
Richard A. Searfoss,Male,United States,North America,05-06-1956
Richard Covey,Male,United States,North America,01-08-1946
Richard Garriott,Male,United States,North America,04-07-1961
Richard Gordon,Male,United States,North America,05-10-1929
Richard H. Truly,Male,United States,North America,12-11-1937
Richard Hieb,Male,United States,North America,21-09-1955
Richard Linnehan,Male,United States,North America,19-09-1957
Richard Mastracchio,Male,United States,North America,11-02-1960
Richard Mullane,Male,United States,North America,10-09-1945
Richard N. Richards,Male,United States,North America,24-08-1946
Richard R. Arnold,Male,United States,North America,26-11-1963
Rick Husband,Male,United States,North America,12-07-1957
Robert Cabana,Male,United States,North America,23-01-1949
Robert Cenker,Male,United States,North America,05-11-1948
Robert Crippen,Male,United States,North America,11-09-1937
Robert Curbeam,Male,United States,North America,05-03-1962
Robert L. Behnken,Male,United States,North America,28-07-1970
Robert L. Gibson,Male,United States,North America,30-10-1946
Robert Overmyer,Male,United States,North America,14-07-1936
Robert Parker,Male,United States,North America,14-12-1936
Robert S. Kimbrough,Male,United States,North America,04-06-1967
Robert Satcher,Male,United States,North America,22-09-1965
Robert Springer,Male,United States,North America,21-05-1942
Robert Stewart,Male,United States,North America,13-08-1942
Robert Thirsk,Male,Canada,North America,17-08-1953
Roberta Bondar,Female,Canada,North America,04-12-1945
Roberto Vittori,Male,Italy,Europe,15-10-1964
Rodolfo Neri Vela,Male,Mexico,North America,19-02-1952
Roger Crouch,Male,United States,North America,12-09-1940
Roman Romanenko,Male,Russia,Europe,09-08-1971
Ronald A. Parise,Male,United States,North America,24-05-1951
Ronald Evans,Male,United States,North America,10-11-1933
Ronald Garan,Male,United States,North America,20-10-1961
Ronald Grabe,Male,United States,North America,13-06-1945
Ronald M. Sega,Male,United States,North America,04-12-1952
Ronald McNair,Male,United States,North America,21-10-1950
Roy Bridges,Male,United States,North America,19-07-1943
Rusty Schweickart,Male,United States,North America,25-10-1935
Salizhan Sharipov,Male,Russia,Europe,24-08-1964
Sally Ride,Female,United States,North America,26-05-1951
Samantha Cristoforetti,Female,Italy,Europe,26-04-1977
Samuel T. Durrance,Male,United States,North America,17-09-1943
Sandra Magnus,Female,United States,North America,30-10-1964
Satoshi Furukawa,Male,Japan,Asia,04-04-1964
Scott Altman,Male,United States,North America,15-08-1959
Scott Carpenter,Male,United States,North America,01-05-1925
Scott Horowitz,Male,United States,North America,24-03-1957
Scott Kelly,Male,United States,North America,21-02-1964
Scott Parazynski,Male,United States,North America,28-07-1961
Scott Tingle,Male,United States,North America,19-07-1965
Serena Auñón-Chancellor,Female,United States,North America,09-04-1976
Sergei Avdeyev,Male,Russia,Europe,01-01-1956
Sergei Krikalev,Male,Russia,Europe,27-08-1958
Sergei Revin,Male,Russia,Europe,12-01-1966
Sergei Treshchov,Male,Russia,Europe,18-08-1958
Sergei Zalyotin,Male,Russia,Europe,21-04-1962
Sergey Nikolayevich Ryzhikov,Male,Russia,Europe,19-08-1974
Sergey Prokopyev,Male,Russia,Europe,19-02-1975
Sergey Ryazansky,Male,Russia,Europe,13-11-1974
Sergey Volkov,Male,Russia,Europe,19-04-1949
Shannon Lucid,Female,United States,North America,14-01-1943
Shannon Walker,Female,United States,North America,04-06-1965
Sheikh Muszaphar Shukor,Male,Malaysia,Asia,27-07-1972
Sherwood Spring,Male,United States,North America,23-09-1944
Sidney Gutierrez,Male,United States,North America,27-06-1951
Sigmund Jähn,Male,Germany,Europe,13-02-1937
Soichi Noguchi,Male,Japan,Asia,15-04-1965
Sonny Carter,Male,United States,North America,15-08-1947
Stanley G. Love,Male,United States,North America,08-06-1965
Stanley Griggs,Male,United States,North America,07-09-1939
Stephanie Wilson,Female,United States,North America,27-09-1966
Stephen Frick,Male,United States,North America,30-09-1961
Stephen G. Bowen,Male,United States,North America,13-02-1964
Stephen Oswald,Male,United States,North America,30-06-1951
Stephen Robinson,Male,United States,North America,26-10-1955
Steven Hawley,Male,United States,North America,12-12-1951
Steven Lindsey,Male,United States,North America,24-08-1960
Steven MacLean,Male,Canada,North America,14-12-1954
Steven R. Nagel,Male,United States,North America,27-10-1946
Steven Smith,Male,United States,North America,30-12-1958
Steven Swanson,Male,United States,North America,03-12-1960
Story Musgrave,Male,United States,North America,19-08-1935
Stuart Roosa,Male,United States,North America,16-08-1933
Sultan Salman Al Saud,Male,Saudi Arabia,Asia,27-06-1956
Sunita Williams,Female,United States,North America,19-09-1965
Susan Helms,Female,United States,North America,26-02-1958
Susan Kilrain,Female,United States,North America,24-10-1961
Svetlana Savitskaya,Female,Russia,Europe,08-08-1948
Takao Doi,Male,Japan,Asia,18-09-1954
Takuya Onishi,Male,Japan,Asia,01-01-1975
Talgat Musabayev,Male,Kazakhstan,Asia,07-01-1951
Tamara E. Jernigan,Female,United States,North America,07-05-1959
Taylor Wang,Male,United States,North America,16-06-1940
Terence Henricks,Male,United States,North America,05-07-1952
Terrence Wilcutt,Male,United States,North America,31-10-1949
Terry Hart,Male,United States,North America,27-10-1946
Terry W. Virts,Male,United States,North America,01-12-1967
Thomas Akers,Male,United States,North America,20-05-1951
Thomas D. Jones,Male,United States,North America,22-01-1955
Thomas H. Marshburn,Male,United States,North America,29-08-1960
Thomas Hennen,Male,United States,North America,17-08-1952
Thomas Kenneth Mattingly II,Male,United States,North America,17-03-1936
Thomas P. Stafford,Male,United States,North America,17-09-1930
Thomas Pesquet,Male,France,Europe,27-02-1978
Thomas Reiter,Male,Germany,Europe,23-05-1958
Tim Peake,Male,United Kingdom,Europe,07-04-1972
Timothy Creamer,Male,United States,North America,15-11-1959
Timothy L. Kopra,Male,United States,North America,09-04-1963
Toktar Aubakirov,Male,Russia,Europe,27-07-1946
Toyohiro Akiyama,Male,Japan,Asia,22-06-1942
Tracy Caldwell Dyson,Female,United States,North America,14-08-1969
Ulf Merbold,Male,Germany,Europe,20-06-1941
Ulrich Walter,Male,Germany,Europe,09-02-1954
Umberto Guidoni,Male,Italy,Europe,18-08-1954
Valentin Lebedev,Male,Russia,Europe,14-04-1942
Valentina Tereshkova,Female,Russia,Europe,06-03-1937
Valery Kubasov,Male,Russia,Europe,07-01-1935
Valery Polyakov,Male,Russia,Europe,27-04-1942
Valery Tokarev,Male,Russia,Europe,29-10-1952
Valery Bykovsky,Male,Russia,Europe,02-08-1934
Valery Korzun,Male,Russia,Europe,05-03-1953
Valery Rozhdestvensky,Male,Russia,Europe,13-02-1939
Valery Ryumin,Male,Russia,Europe,16-08-1939
Vance Brand,Male,United States,North America,09-05-1931
Vasili Lazarev,Male,Russia,Europe,23-02-1928
Vasily Tsibliyev,Male,Russia,Europe,20-02-1954
Viktor Gorbatko,Male,Russia,Europe,03-12-1934
Viktor M. Afanasyev,Male,Russia,Europe,31-12-1948
Viktor Patsayev,Male,Russia,Europe,19-06-1933
Viktor Savinykh,Male,Russia,Europe,07-03-1940
Virgil Grissom,Male,United States,North America,03-04-1926
Vitaly Sevastyanov,Male,Russia,Europe,08-07-1935
Vitaly Zholobov,Male,Russia,Europe,18-06-1937
Vladimir Aksyonov,Male,Russia,Europe,01-02-1935
Vladimir Dzhanibekov,Male,Russia,Europe,13-05-1942
Vladimir Komarov,Male,Russia,Europe,16-03-1927
Vladimir Kovalyonok,Male,Russia,Europe,03-03-1942
Vladimir Lyakhov,Male,Russia,Europe,20-07-1941
Vladimir N. Dezhurov,Male,Russia,Europe,30-07-1962
Vladimír Remek,Male,Czech Republic,Europe,26-09-1948
Vladimir Shatalov,Male,Russia,Europe,08-12-1927
Vladimir Solovyov,Male,Russia,Europe,11-11-1946
Vladimir Titov,Male,Russia,Europe,01-01-1947
Vladimir Vasyutin,Male,Russia,Europe,08-03-1952
Vladislav Volkov,Male,Russia,Europe,23-11-1935
Vyacheslav Zudov,Male,Russia,Europe,08-01-1942
Wally Schirra,Male,United States,North America,12-03-1923
Walter Cunningham,Male,United States,North America,16-03-1932
Wang Yaping,Female,China,Asia,27-01-1980
Wendy Lawrence,Female,United States,North America,02-07-1959
William Anders,Male,United States,North America,17-10-1933
William B. Lenoir,Male,United States,North America,14-03-1939
William C. McCool,Male,United States,North America,23-09-1961
William Frederick Fisher,Male,United States,North America,01-04-1946
William Gregory,Male,United States,North America,14-05-1957
William Oefelein,Male,United States,North America,29-03-1965
William Pailes,Male,United States,North America,26-06-1952
William Pogue,Male,United States,North America,23-01-1930
William Readdy,Male,United States,North America,24-01-1952
William S. McArthur,Male,United States,North America,26-07-1951
William Shepherd,Male,United States,North America,26-07-1949
William Thornton,Male,United States,North America,14-04-1929
Winston Scott,Male,United States,North America,06-08-1950
Wubbo Ockels,Male,Netherlands,Europe,28-03-1946
Yang Liwei,Male,China,Asia,21-06-1965
Yelena Kondakova,Female,Russia,Europe,30-03-1957
Yelena Serova,Female,Russia,Europe,22-04-1976
Yevgeny Khrunov,Male,Russia,Europe,10-09-1933
Yi So-yeon,Female,South Korea,Asia,02-06-1978
Yuri Artyukhin,Male,Russia,Europe,22-06-1930
Yuri Baturin,Male,Russia,Europe,12-06-1949
Yuri Gagarin,Male,Russia,Europe,09-03-1934
Yuri Gidzenko,Male,Russia,Europe,26-03-1962
Yuri Glazkov,Male,Russia,Europe,02-10-1939
Yuri Lonchakov,Male,Russia,Europe,04-03-1965
Yuri Malenchenko,Male,Russia,Europe,22-12-1961
Yuri Malyshev,Male,Russia,Europe,27-08-1941
Yuri Onufrienko,Male,Russia,Europe,06-02-1961
Yuri Romanenko,Male,Russia,Europe,12-10-1941
Yuri Shargin,Male,Russia,Europe,20-03-1960
Yury Usachov,Male,Russia,Europe,09-10-1957
Zhai Zhigang,Male,China,Asia,10-10-1966
Zhang Xiaoguang,Male,China,Asia,01-05-1966
